"year","epiweek","mean_temperature","relative_humidity","precipitation","rainy_days_5","rainy_days_10","rainy_days_30","indexP"
2019,30,15.7439710344587,86.5573599286776,26.3806312930039,5,10,30,0.0841099818956715
2019,31,13.7660802932013,76.7191679594781,14.7868658326244,5,10,30,0.00516820096960661
2019,32,16.7715171450661,82.9810285041091,4.35692432523401,5,10,30,0.169824230898429
2019,33,13.947662062872,75.2311098356009,12.3420297818425,5,10,30,0.00680605682913151
2019,34,12.5938725062779,75.0826459373287,0.0768315739110292,5,10,30,8.44892368673e-05
2019,35,18.0382585797991,77.7625596438284,13.439129072367,5,10,30,0.315255837591372
2019,36,15.051418922061,75.9203357090054,6.48122371614098,3,8,28,0.0299616380232084
2019,37,19.1171476091658,81.6560594119899,14.7514114726543,0,3,21,0.670650170947051
2019,38,15.563729495094,78.2078706402052,11.234284242061,3,3,17,0.0538209689364159
2019,39,16.8192622593471,75.7909524892006,0.211802746177843,5,10,17,0.135417345781096
2019,40,20.9229889642625,78.5775136375594,48.6518603574263,5,10,19,1.45299510567244
2019,41,22.7694143386114,74.2029053234419,0.60297463019765,5,10,24,2.80540498347194
2019,42,18.2983798799061,79.9012610340246,43.4658995663995,5,10,30,0.398399656668899
2019,43,19.2508236839658,79.4071670907407,10.0193444635845,5,10,30,0.655153345347809
2019,44,22.9008419218518,81.0446195857403,12.7631107604126,3,8,28,4.1379529706071
2019,45,21.26870480492,82.749266986455,21.2028954159299,4,5,25,2.07047450170352
2019,46,21.390164402553,75.4876490737211,14.0733597012333,5,10,25,1.57442435252566
2019,47,22.6597428821382,71.4306116356778,8.73319529476276,5,10,25,2.32807099635365
2019,48,21.6677606491816,72.0669293874497,22.5410291208641,5,10,25,1.52515945794644
2019,49,21.2255845569429,67.739845993398,13.9032808223618,5,10,30,1.01444634785954
2019,50,24.8476399739584,62.4848949559464,2.61376200519929,5,10,30,3.82955900348714
2019,51,23.1261833554223,67.2927648489469,10.0714341421053,5,10,30,2.33136617191912
2019,52,27.184353129069,58.1195713926068,0.0153836273719676,5,10,30,7.07533885975731
2020,1,25.6395914713542,70.0817401607297,6.44478169442664,NA,NA,NA,8.14162419133064
2020,2,26.2265011742002,67.9833977452986,7.61781159700566,5,NA,NA,9.21492600751571
2020,3,24.6267820812407,68.4986493354524,8.50594695743704,5,10,NA,4.82627518706322
2020,4,24.5282520839146,70.7319962178809,3.66912456834712,5,10,NA,5.19795916295085
2020,5,25.4074231828962,71.1991921555218,6.11822352647569,5,10,NA,7.82109242078928
2020,6,25.97193552653,70.0608666437846,1.78387054287062,5,10,30,9.35700725204383
2020,7,24.62513558524,65.265632578908,5.27848333171714,5,10,30,4.05364169236149
2020,8,26.3885349818639,62.5459085223575,2.93772906619931,5,10,30,7.16165310683096
2020,9,22.2020634969076,65.7288318815658,23.0540259312241,3,8,28,1.42775141752271
2020,10,22.6255003429595,68.3101282318302,0.395024815379822,3,4,24,1.96231805445968
2020,11,26.1393342517671,64.7113669434467,0.06326579644463,5,8,23,7.45830702283937
2020,12,24.0596884591239,73.1308449186777,6.77372052968887,5,10,23,4.77336808393254
2020,13,23.7119708106632,69.0160946382013,0.338171671810272,5,10,23,3.30818133627312
2020,14,23.6001220703125,71.1834886588451,12.0617166108303,5,10,28,3.51708828572536
2020,15,18.612191045852,68.407682601048,10.2383502436965,5,10,30,0.298353978774028
2020,16,18.5790326073056,69.0202294462378,5.03924830698329,5,10,30,0.300511401686138
2020,17,20.4459894089472,72.4305380415285,0.147996015252616,5,10,30,0.876220947077707
2020,18,21.337657456171,63.082255291315,0.395858564970671,5,10,30,0.855793106466567
2020,19,16.1835941859654,70.0792476465127,14.6200920278214,5,10,30,0.0695954855261744
2020,20,17.0149238949731,75.2067497343461,17.8422220521691,5,10,30,0.151522555364311
2020,21,18.1250945318313,75.6116871366252,20.1141919390307,5,10,30,0.304578315344019
2020,22,14.6470544724238,73.7405074924949,4.86264181450746,5,10,30,0.0176170670336254
2020,23,14.2140870593843,80.1547039581639,14.3531718610319,5,10,30,0.0119265143297658
2020,24,16.8629089355469,84.634952230369,16.8844306417289,5,10,30,0.192571170950604
2020,25,16.2622147333055,77.6472740601268,9.3776043757714,5,10,30,0.0958559805678201
2020,26,18.860868980771,72.5981706088316,7.67925057250234,5,10,30,0.402751443091081
2020,27,11.0946590605236,78.1684610089632,23.3477659541739,5,10,30,0
2020,28,12.3201425461542,81.7891587315031,50.8877561963269,5,10,30,0
2020,29,10.6667034330822,81.3266617077871,21.8407650805167,5,10,30,0
2020,30,19.8076554071336,76.4186932905646,0.140804724821919,5,10,30,0.766011256443935
2020,31,11.2076445806594,77.0214680758261,29.4763709247547,5,10,30,0
2020,32,16.900290062314,80.7552358740939,0.733920088987835,5,10,30,0.171555718035265
2020,33,15.4617194039481,82.070625033448,31.0383195889538,5,10,30,0.0555113745005803
2020,34,12.9529855637324,76.0052205121906,7.79184362331931,5,10,30,0.000634919050243558
2020,35,16.0145740327381,76.3020396458553,0.358328907419529,5,10,30,0.0749857841758786
2020,36,15.4369304112026,81.655338485381,14.9741100323505,3,8,28,0.0534526162143281
2020,37,17.0462007795062,88.3522793568917,57.9638281924417,1,4,24,0.251215254071208
2020,38,17.3084070841472,82.5005877385824,48.9212417699794,0,0,17,0.24113057416605
2020,39,15.5070598057338,71.5536571175853,0.037644519771618,5,7,17,0.0411233204727084
2020,40,20.3473268054781,80.3139517128981,24.1326838919728,5,10,17,1.18635264648434
2020,41,16.648940386091,80.0871533352748,20.8952192028894,5,10,21,0.139968182447792
2020,42,17.5391737438384,75.8524166359814,0.888185921469553,5,10,28,0.217297707946757
2020,43,21.5022794451033,75.7809932712987,1.25186324909995,5,10,30,1.6823450463438
2020,44,20.0090819585891,76.3391256320966,13.9617845158379,5,10,30,0.843462596427651
2020,45,17.2871635800316,73.1302471058959,3.15947269957443,1,6,26,0.167653127465913
2020,46,21.3039453415644,81.2288262389057,5.01267091248773,5,8,26,1.9666398531337
2020,47,20.4923249017625,75.6029770436419,5.95516340880901,5,10,26,1.03305320386431
2020,48,22.7518093290783,67.9919965298035,6.62831855931737,5,10,26,2.04374115602792
2020,49,23.6256656465076,76.2095984250666,21.4251447822183,5,10,29,4.57647672813014
2020,50,21.7386122930618,74.2819476909112,7.57639226097008,5,10,30,1.75079949647509
2020,51,24.3062272571382,75.4448145385129,10.0119213232344,5,10,30,5.99060209213983
2020,52,23.5708778744652,66.0073587521231,1.70432211476642,5,10,30,2.65665844729984
2020,53,25.3800109863281,70.6513390679435,1.29612191828225,5,10,30,7.50900457756818
2020,53,25.3800109863281,70.6513390679435,1.29612191828225,5,10,30,4.87230130085502
2021,2,26.0381848289853,63.4376151815706,5.51035425336958,5,10,NA,6.66902587088777
2021,3,23.5369735717774,76.1622664688671,11.7728140015605,5,10,NA,4.38531363007624
2021,4,24.9424733479818,81.8980842872937,20.2254806475442,5,10,NA,10.89306736658
2021,5,24.7366173880441,80.1084145308057,14.6761489583393,5,10,30,9.12887190322106
2021,6,23.2786041259766,74.6676823086226,3.61022499940707,5,10,30,3.6217493251632
2021,7,23.350004359654,76.5427413461854,14.281614494242,5,10,30,4.10267755230007
2021,8,24.241830444336,72.7458695260298,3.85468851360808,5,10,30,5.07818182420762
2021,9,24.1662554786319,81.058862014436,10.7922643223901,2,5,25,7.39624848617169
2021,10,21.9535980951219,77.7804057892207,10.1696967495002,4,7,23,2.28252778172601
2021,11,23.4196353004093,76.4402866816449,5.88530717716177,5,10,23,4.21404045659436
2021,12,23.6715491885231,82.7917469022069,16.2836632311922,5,10,23,6.40671458053944
2021,13,20.8083609444755,80.4410227675344,19.1893076544147,5,10,28,1.49476110513338
2021,14,22.6234000796364,76.9829003977499,0.372070679472832,5,10,30,3.0012270947306
2021,15,22.1786328996931,70.922446906979,0.845231518130873,5,10,30,1.82415601386301
2021,16,20.6971258254279,75.8498821121099,2.33634221053797,5,10,30,1.15256363603888
2021,17,18.0213899884905,71.6766432042306,3.82430229196729,5,10,30,0.246213155829769
2021,18,18.4190827142625,73.0953443327089,10.1798365513079,5,10,30,0.324740541691501
2021,19,14.4714763096401,77.0492001031105,5.64214799507419,5,10,30,0.0155636363921478
2021,20,14.1921216692244,82.5971088301796,10.4962143568438,5,10,30,0.012420463545974
2021,21,14.0696771530878,74.2374970805924,21.2025668030028,5,10,30,0.00805335366969681
2021,22,13.7338217599052,76.350884721723,8.19118080327049,5,10,30,0.00481718923291886
2021,23,16.6956526256743,83.5777421524978,30.2240524009297,5,10,30,0.164244433809334
2021,24,12.375884719122,78.6362318644769,0.403570344307861,5,10,30,0
2021,25,14.9173014322917,85.1467918537125,2.53491839466354,5,10,30,0.0346194740637912
2021,26,10.9498291742234,77.6354012226652,33.3251954535025,5,10,30,0
2021,27,13.0958982921782,87.0935605390258,0.0636223220655078,5,10,30,0.00140756611323421
2021,28,15.6507267543248,83.7378642163938,1.80151814186165,5,10,30,0.0701754109096288
2021,29,10.8825175694057,72.5848805792345,0.13923474344023,5,10,30,0
2021,30,12.1131672450475,70.3275024550352,9.97700592160318,5,10,30,0
2021,31,12.7795759655181,85.0754750541262,0.0884579101854873,5,10,30,0.000376615038812201
2021,32,15.2230555943081,77.8147815068885,8.67744013830674,5,10,30,0.0380990070457215
2021,33,18.1399366106306,82.9511036830077,3.6537092315901,5,10,30,0.410240562794409
2021,34,16.5045555478051,82.2711031462959,37.0851018899634,5,10,30,0.135950821771242
2021,35,18.5677352905274,77.8267686109289,1.19044240200594,4,9,29,0.426115632732744
2021,36,16.9084041050502,79.7403629111164,45.3038857989062,3,6,26,0.166249289651177
2021,37,16.9774119785854,79.2893750404406,23.6817508235328,0,1,19,0.171496397246616
2021,38,18.1415220714751,79.4385015201676,7.55107015432562,5,6,18,0.357504706477813
2021,39,18.5649916149321,84.071415139014,28.6326057077086,5,10,18,0.547434149111371
2021,40,16.315701511928,71.741770346503,2.97659548698862,5,10,20,0.0815003251280634
2021,41,20.0687787010556,81.2876920265746,14.968019353546,5,10,27,1.0777846145306
2021,42,17.2319104149228,72.9587357676153,2.85809919258639,5,10,30,0.16083777744297
2021,43,20.6514286586217,67.6269987760535,7.90977897180722,5,10,30,0.775920852740765
2021,44,23.187634858631,76.1700213394895,2.82100053433965,1,6,26,3.74043245461456
2021,45,18.9942126319522,66.2844670194558,2.01033128831796,5,6,25,0.332611429937685
2021,46,20.9289337158203,69.5223583055984,15.0495584455778,5,10,25,0.962261124793278
2021,47,22.8287891932896,62.9306641320669,11.8193255109003,5,10,25,1.6342244345959
2021,48,21.6867175147647,69.8329047336541,3.32516440494146,5,10,27,1.38269322619542
2021,49,21.4556954520089,67.5875882726907,6.78318022345081,5,10,30,1.11805525146929
2021,50,23.4945439656576,77.2807797440403,31.7583221719412,5,10,30,4.54320182071572
2021,51,23.0223483857655,70.0643208279843,0.554936142925122,5,10,30,2.56215615466708
2021,52,24.792315419515,63.935580634844,0.373459953972125,5,10,30,4.05206515608606
2022,1,23.0498890468053,67.5707101780474,9.37872744938772,NA,NA,NA,2.28567817149476
2022,2,28.1396485101609,61.904039430464,2.07282052615732,5,NA,NA,11.5840531024547
2022,3,29.9295088268462,66.6538839939905,1.49972780583122,5,10,NA,20.4985483522051
2022,4,24.9228825160436,66.4802315833155,12.6144289375354,5,10,NA,4.92706477552732
2022,5,24.7615978422619,70.8819713870843,9.23580405795543,5,10,30,5.80638381173411
2022,6,23.3253890264602,71.4836931630782,5.39178670290615,5,10,30,3.15545756717907
2022,7,24.8741081601098,63.877113199412,2.5004517762568,5,10,30,4.18375802658129
2022,8,26.5919618879046,70.4773562237431,5.61353645670456,5,10,30,11.9206369072399
2022,9,26.2139973231725,74.0038778056774,12.6811775646729,2,5,25,12.6403893362714
2022,10,22.6113972255162,79.9284068503183,13.6951754260129,3,7,23,3.43252682449012
2022,11,21.8426449003674,73.5026558486717,4.91787402788191,5,10,23,1.77052045123088
2022,12,21.1858928135463,74.0814683604434,28.0803007467014,5,10,23,1.33998849030606
2022,13,18.4919714064825,78.42549068214,49.7155185937825,5,10,28,0.418672152496298
2022,14,20.6714768909273,84.551802096855,8.18552567097678,5,10,30,1.67600544053101
2022,15,18.3342209588914,75.2670302083627,1.40565908418466,5,10,30,0.33797465296146
2022,16,19.2032696678525,78.3441132805247,2.38296829292099,5,10,30,0.611263127356425
2022,17,18.8672591436477,81.6939711536596,17.5751541540023,5,10,30,0.58736983746778
2022,18,16.5679921468099,83.4680303463491,13.6660614574104,5,10,30,0.148841154291614
2022,19,15.235003952753,83.1694819041196,17.8170697926513,5,10,30,0.0458794068837432
2022,20,12.9618345714751,83.1280751848995,9.9293451035957,5,10,30,0.000794217209447337
2022,21,16.241590663365,84.3100613170068,18.0275531177661,5,10,30,0.119036501675522
2022,22,12.1407409667969,82.0333854393215,22.9215555678987,5,10,30,0
2022,23,12.260156976609,77.9248889126594,0.862945512965988,5,10,30,0
2022,24,11.8829284667969,82.9633253518063,33.6488558399092,5,10,30,0
2022,25,13.539926147461,89.4771179899743,18.425320941257,5,10,30,0.00476056099939713
2022,26,14.4331004551479,83.7731222251349,12.7040592099548,5,10,30,0.0181466916511964
